Jenis,No Penerbangan,Bandara,Jam
Keberangkatan,PK SNH,BANDAR UDARA LONG APUNG (LPU),08:00
Keberangkatan,WON 1472,BANDAR UDARA MELALAN (GHS),09:05
Keberangkatan,SJV 659,BANDAR UDARA YOGYAKARTA (YIA),09:25
Keberangkatan,CTV 461,BANDAR UDARA JUANDA (SUB),11:00
Keberangkatan,PK SNH,BANDAR UDARA MARATUA (RTU),11:10
Keberangkatan,WON 1480,BANDAR UDARA SYAMSUDIN NOOR (BDJ),11:25
Keberangkatan,GIA 581,BANDAR UDARA SOEKARNO HATTA (CGK),12:20
Keberangkatan,SJV 653,BANDAR UDARA JUANDA (SUB),12:30
Keberangkatan,BTK 6257,BANDAR UDARA SOEKARNO HATTA (CGK),13:00
Keberangkatan,WON 1484,BANDAR UDARA KALIMARAU (BEJ),14:05
Keberangkatan,SJV 641,BANDAR UDARA JUANDA (SUB),14:40
Keberangkatan,CTV 423,BANDAR UDARA SOEKARNO HATTA (CGK),15:00
Keberangkatan,BTK 6677,BANDAR UDARA SOEKARNO HATTA (CGK),17:35
Kedatangan,WON 1481,BANDAR UDARA SYAMSUDIN NOOR (BDJ),08:20
Kedatangan,SJV 640,BANDAR UDARA JUANDA (SUB),08:40
Kedatangan,CTV 460,BANDAR UDARA JUANDA (SUB),10:30
Kedatangan,PK SNH,BANDAR UDARA LONG APUNG (LPU),10:50
Kedatangan,WON 1479,BANDAR UDARA MELALAN (GHS),11:00
Kedatangan,GIA 580,BANDAR UDARA SOEKARNO HATTA (CGK),11:20
Kedatangan,SJV 652,BANDAR UDARA JUANDA (SUB),11:50
Kedatangan,BTK 6256,BANDAR UDARA SOEKARNO HATTA (CGK),12:20
Kedatangan,WON 1485,BANDAR UDARA KALIMARAU (BEJ),13:35
Kedatangan,PK SNH,BANDAR UDARA MARATUA (RTU),13:50
Kedatangan,SJV 658,BANDAR UDARA YOGYAKARTA (YIA),14:00
Kedatangan,CTV 422,BANDAR UDARA SOEKARNO HATTA (CGK),14:30
Kedatangan,BTK 6676,BANDAR UDARA SOEKARNO HATTA (CGK),16:55
